"","Rating","Text"
"67",1,"  With a plot that is full of logical flaws, and characters that don?t click, this verison of Croft often feels laughable, and not in a good way."
"68",5,"  I honestly think the main reason people are giving this film flak, is that Laura Croft doesn't have giant breasts and her body isn't a main focus of filming. Tomb Raider stands on its own story. To be fair, it isn't the g.o.a.t, but it is an engaging and entertaining film. It is certainly a fun film worth watching."
"69",5,"  Fresh from the vine. much better than the Angelina big chest version. Supports the game well."
"70",4,"  Better than the Angelina Jolie films of 17 yrs ago. The story is not over the top, but it could have been a bit crazier. Walton Goggins makes a good villian."
"71",3.5,"  Better then expected. Lots of crazy action that makes no sense but it works."
"72",5,"  Finally a balanced work. Although need more desperate situations to create tensions."
"73",4.5,"  For a video game movie I must say it is one of the better ones."
"74",3,"  Don't let the reviews get you down, this is a fun action flick with a strong lead in the iconic role of Lara Croft. Following the story of the reboot 2013 Tomb Raider game, the story takes place on a lost island off Japan with the mystery of an ancient power and an evil force coming after it. It veers enough from the story of the game to keep fans guessing and it really helps the film stay grounded. There are problems, the lack of other major female characters makes the film feel a little unbalanced with a lot of male perspectives in a film that would have been far more interesting with other ideas. It also seems the budget of the film limited the scope of the production as there were some impressive elements of the game that would have improved the spectacle of the film. If you love action films and have an affinity with the Tomb Raider franchise I would recommend seeing this movie."
"75",3,"  the movie was good, but the movie was only good because the only interesting character we got was Lara..."
"76",4,"  In my opinion this movie was quite an upgrade from the previous installments (starring Angelina Jolie) I really loved Alicia Vikander's performance as Laura Croft. It was a combonation of her acting ability and the writing of the character. I felt that this team had a better idea of what the games are like and stuck more to the source material. I enjoyed the development of the character in the beginning even if it were a little slower I think it will pay off especially if they have a sequel in mind. Really fun action flick."
"77",3,"  At first i didnt have high hopes for this movie cause every game adapted movie has failed miserablely but from after seeing the movie it was better then i assumed. A bit of a average action origin movie but would have to be the best game adapted movie made so far and Alicia Vikander did brilliant as lara croft if there will be a sequal i'll look forward to seeing her return as the tomb raider and hopefully they can do a bit more with the movie."
"78",2.5,"  Vikander is great with the physicality other than that I didn't really find much endearing here."
"79",5,"  Definitely different than the video game is based off of but quite enjoyable and a new twist on the same basic story. Alicia Vikander delivers a stellar performance. I hope to see more of her as Lara."
"80",5,"  This is the best adaptation of a video game ever!"
"81",5,"  My Favorite Movie of The Year So Far Had Great Action!"
"82",4,"  As far as video game to movie adaptations go, this movie is by far the best that I have seen. Any deviation from the video game canon only serves to amplify, and not detract from, the story and character development. This crossover grounds several of the elements that would be farfetched in reality but is commonplace in today's video games, and this makes this movie all the better. Better still, I found myself at the edge of my seat just as I do at home when the action sequences began. Alicia Vikander plays a wonderful Croft, not like the campy Jolie version. This movie is a must see for anyone who truly enjoys the Croft universe. 4 out of 5 for this highly enjoyable adaptation."
"83",2.5,"  It was actually decent, once in to the movie it has a rocky start but a pretty good ending."
"84",5,"  Go see it, it's really good IMO."
"85",4.5,"  Loved it, even for those who haven't played the game this is a thrilling adventure, Alicia Vikander is incredible in the role of Lara and I was surprised by how realistic the movie was, certain scenes are hard to watch as you can see the physical and emotional impact combat has on her character. I have a few problems with the movie that I wish wern't there but didn't significantly hurt my viewing, the music is pretty generic and the twist at the end was unnecessary and sequel- baiting. Despit these small flaws I definitely recommend this movie to fans of the game or general viewers."
"86",4,"  Alicia Vikander makes an excellent and engaging Lara Croft. The story is slight and shows its video game roots with Lara leaping from obstacle to obstacle. It has all the improbabilities of most action films but Tomb Raider still manages to be fun."
