"","Rating","Text"
"64",1.5,"  The voiceover work is good, with John Cena turning in a decent performance as a the gentle giant. And unlike The Emoji Movie before it, Ferdinand actually has a bit of heart to it. Unfortunately, the film's scenes are cobbled together and copied from other, better adventures. The pacifist message of the movie is not exactly new, but it feels especially out-of-place in the violent world of bullfighting. It's very similar to the theme of 1998's Pokemon: The First Movie, and like that movie, the message is meaningless once the movie ends, because we all know that the pacifism does nothing for the world of the movie."
"65",5,"  My kids loved it. Went to the theater twice."
"66",4,"  Great story! My son is 4.5 and he really enjoyed it. Lots of laugh out loud moments for parents and kids alike."
"67",4,"  Thought the movie had a good message that was delivered properly. Was very happy my kids got to see it."
"68",5,"  Such a lovely movie!! My daughter and son absolutely loved it! Very kind and interesting story. The only problem is, my daughter is crying and asking me to buy her a bull... with the broken horn... :) not sure how long she would remember it"
"69",1.5,"  What this movie had in beautiful animation it lost in the story. A kids movie that was at times too dark for kids, making it a movie for nobody."
"70",2,"  Formulaic animated fable that is pleasant enough but doesnt really do anything special."
"71",2,"  A powerful beginning, a gorgeous ending, and in between, a meaningless slog of ""kooky"" slapstick and brown characters being slapped around. But the pro-bullfighting crowd apparently loathes it, so there's that."
"72",4.5,"  I ended up having to see this movie twice and I honestly didn't mind. I don't normally watch animated movies but this was pretty cute. It had a good story line and some pretty funny parts. I would watch it again if someone wanted to."
"73",2.5,"  Puntaje Original: 5.5Con ciertos elementos remarcables en su trama y algunos momentos hilarantes, Ferdinand es un film simple, predecible y con un mensaje demasiado obvio."
"74",3,"  Funny movie and family friendly"
"75",3,"  Nice family film, kinda got lost in the shadow of Coco. Big shout out to John Cena & Kate McKinnon for their voice work."
"76",3.5,"  Kids liked it but Mom thought it was a bit long."
"77",2,"  I loved Ferdinand as a child and Ferdinand himself looks good here. But. This is a former children's story turned into an ""action thriller"" with the accompanying meanness and inflated villainy that seems to require. Not for kids, not for girls, and really, not for boys either. There is nothing ""family-friendly"" about actual bull fighting."
"78",5,"  Terrific! What a great story and wonderful characters, just can't beat this one. You'll fall in love with Ferdinand, a classic in every way. Loved every minute!"
"79",3,"  Coco - Sing - Bambi - Cars 3 - The Secret Life of Pets"
"80",5,"  Great movie. My daughter loved it."
"81",5,"  Go watch Ferdinand guyss its good I swear"
"82",3.5,"  Ferdinand is exactly as adorable as you thought it was going to be. A sweet movie with a good message, a few laughs and some beautiful artwork. A little more tinkering would have improved it but what we ended up getting was pretty damn spectacular."
"83",3,"  not a bad film but the standards are so high thanks to Pixar that this film feels like a straight to DVD film but kids will enjoy it"
"84",4,"  Really good. A sort of suprise too."
"85",5,"  Great movie for kids and adults. It had a great storyline and had great humor in it!"
"86",5,"  It is a beautiful film from which we can learn different things including not giving up our dreams"
"87",5,"  This movie is surprising entertaining. A lot of memorable characters including machina, bones, guapo and others. Its definitely a must see if you are with the family or just single and want to be entertained."
"88",1.5,"  Yawn! Wasn't awful. Just, eh. Never got me remotely interested in the characters."
"89",3.5,"  The sort of movie Disney used to make before it decided it liked cash more than kids. It follows a well worn path but has enough sparkle and irreverence to keep it fresh. Released the same time as the latest Star Wars bore fest it does the opposite and pleases more than you expected it to rather than leaves you feeling like you've just been mugged."
"90",4.5,"  I really enjoyed this movie with my children. I found myself smiling the whole way through. My kids were completely engrossed. Ages 5 and 9."
"91",5,"  GREAT movie - very funny - and poignant. Well acted and beautiful to look at."
"92",4,"  These people are crazy. great movie. lots of laughs"
"93",1.5,"  Ferdinand is chock full of annoying characters, flaws in the plotline and a happy ending."
"94",5,"  I'm from Seville, Spain and all of you can not possible begin to understand how needed it is this movie for our actual society. It's a great movie with a great message, it's not only about peace and freedom, it's about animal rights and how we use them as items. The book from where the movie is based on was banned in Spain during the francoist era for their ""depraved"" message, still a lot of work to do here in my land and the world, these kind of movies for kids and adults are so need for the future. It amazes me in a really bad way how the movie is not getting the importance that it deserves. Actual society is not ready for these kind of messages but I'm totally sure that in the future and I want to believe it, the society will be better and take this movie as referent. Totally recommended. Same happened with The Book of Life of Jorge R. Gutierrez.Saludos desde Sevilla, y liberaci�n animal, por favor más que películas así para los niños y para los mayores, sobre todo para los mayores."
"95",5,"  Went to see this movie with my 4 year old grandson after taking him to see Coco. BOTH are great movies. BOTH are suitable for young children and have good moral values. I suspect Ferdinand is rated lower because of its ""pacifist"" bent. It seems these days that there is not even a debate about all the violence in which our government engages around the world in OUR names. Ferdinand is a bull who does not want to fight. He loves flowers and everything beautiful about the world. He is a ""flower child"" so to speak even though he is the biggest and strongest bull. When he has a chance to get the upper hand against the ""evil"" bullfighter, he just sits down and engages his eyes. As a 69 year old survivor of the Vietnam era, I loved this movie and its morality. My grandson was very tired but it held his attention throughout. And it certainly held mine. If you liked Coco, you will like Ferdinand."
"96",4.5,"  It was a fun, hilarious animated movie. I just thought it was good, but my dad said it could have been better or worse. I thought the humor was great, so go ahead and see it if you haven't already and think about how you feel for Ferdinand."
"97",3.5,"  Though ""Ferdinand' is predictable and thinly plotted, it's still a funny and heartfelt animated film that benefits from the charming voice performances from John Cena and Kate McKinnon."
"98",4,"  While this movie does have a good amount of great comedy, it also has a good amount of great heart. Through Ferdinand's journey back home, the audience sees how his selflessness and good personality changes those he meets. From the companions he had as a young calf, to the new friends he makes on the way, even to the climatic bullfight in Madrid, the gentle giant inspires and changes everyone's views of him by being himself. John Cena did a fantastic job as the title bull as did the rest of the cast. The animation is excellent, especially in the comedic chase sequence near the end of the film. This is a great family movie, and I will definitely be buying this on Blu-ray when it comes out. 8/10"
"99",4,"  I'm surprised by all the negative reviews! I love kids movies and thought this one was very cute. Definitely not my favorite/not on par with Pixar movies, but a good story (although predictable) and funny."
"100",1,"  A shitty painfully unfunny film with a extremely predictable story."
"101",4,"  Surprisingly funny and refreshing"
"102",5,"  Screw the critics! This movie was great."
"103",3.5,"  Ferdinand is a bull's hit. Movie has a simple story about a big big bull with kind heart. It is really simple and straight forward for kids to understand and enjoy Ferdinand. John Cena is already loved by kids and they are gonna love his voice as lead character. Animation team has kept this in basic 3D and not the realistic animation that makes it looks good. The sequence in the grocery store and the market will bring smile on your face. The sequence with the rabbit, the Hedgehogs are good to watch and viewers will appreciate dance competition between horses and the bulls. They were cool. Ferdinand is a good animation movie and will be appreciated by viewers. One can say it is a lite entertaining movie with moral. One can appreciate the Spanish city themes and the Spanish music running in background too."
"104",5,"  This movie is quite cute. I have to say the ticket is worthy."
"105",5,"  Una pel�cula con un gran mensaje, junto con COCO una de las mejores que he visto."
"106",5,"  I'm surprised how badly rated it is. It was actually a very good animation. It teaches kids about compassion and about being kind. Also it's funny but also a tear jerker. Great show! Makes me not wanna eat meat though (:"
"107",4,"  great movie with interesting cast voice ð???ð???"
"108",4,"  Kate Mckinnon almost ruined this sweet heart warming movie. Her character was completely obnoxious... kinda like her in real life."
"109",3,"  Ferdinand has its cute and charming moments on top of having some good animation and successfully capturing the heart and soul of its source material by keeping the message from the book, but the big problem that keeps this movie from being great is that it feels really drawn out and slow paced at times. Not to mention that the comic reliefs are really annoying. I think if they removed the comedic sidekicks, and focused only on the bulls and humans, this movie would have been so much better. But as it is, it's OK. Nothing to really rush to, but it's relatively harmless."
"110",4,"  It was a fun movie, my wife and I liked it."
"111",3,"  It took me half an hour, but eventually Ferdinand won me over. My 3 year old got bored, but my 5 year old enjoyed it.The humor takes a while to get going, but there are some laughs.The horses were great.I think Ferdinand?s strength lies at its heart. It does give you the warm fuzzies and leaves you smiling.These movies are a dime a dozen these days. A few a great, many fall short..... Ferdinand is somewhere in the middle.Good and worth a look."
"112",1.5,"  My 7 year old daughter loved it. I would rather have gone to the dentist. Definitely NOT certified fresh."
"113",5,"  I really enjoyed this film. I don't particularly understand all the audience hate for this film. There were some real shining moments in this film and the 4 kids that I took to see this film liked it better than Coco (I did too). The characters were loveable and the story endearing. I have a feeling your kids will absolutely love this movie even if you are a bit on the fence about it. And lets be honest, you are not going out of your way to watch animated films for yourself as there are much more entertaining films for adults in the world."
"114",3,"  It's a kids movie that has nice characters and a story of difference being a strength when we work together. Being true to yourself is what makes you successful and who wouldn't want their children to leave with that thought."
"115",5,"  Best animation of the year. Not a new story but one with real heart. Many will overlook this sweet story that has a wonderful message especially in this challenging time.A real winner!"
"116",4,"  A sweet and very underrated that should be watched with the whole family."
"117",2,"  Es una historia que enmascara una exaltación de la tauromaquia. Trama forzada, con chistes tontos y personajes fácilmente olvidables."
"118",4,"  Read the books as a child.. this movie hit a nice soft fuzzy fealing in my heart..!! Funny adorable!! And yes it made me cry!! Worthy of a second and third watching!!"
"119",0.5,"  I could have written a better movie. A mindless way to screw up a time honored classic story...,"
"120",3,"  First movie of 2018. It was pretty good. Now I have to go find the old cartoon from my childhood."
"121",3.5,"  Certainly not the ""quickest"" animated feature, this still carries a barn load of sweetness and carries some of the most beautiful scenery work I've seen in animation. Carried a distinctly European feel, set in Spain, so that makes sense!"
"122",4,"  its a fun movie to watch with the famliy"
"123",4.5,"  Great family movie. So many applicable life lessons while remaining entertaining. My daughter loved this as much as I did. Can't to see it again with my son. Just wish there were more Hispanic voices in the lead roles."
"124",3,"  I watched it once at the cinema last month, and found it un-BULL-ievable.There were moments that I didn't quite expect, including plenty of funny and enjoyable moments. But really, I kind of find it too sad and awkward for teenagers. So what I'm saying is that it's good but not great. If you're planning on watching Ferdinand, don't expect it to be an awesome type of film."
